habitat,ID,strain,genus,skew
surface,Surf1,IUB2501,Duganella,1.696401312
surface,Surf2,IUB2502,Pseudomonas,2.745747057
surface,Surf3,IUB2503,Aeromonas,1.443221106
surface,Surf4,IUB2504,Duganella,2.075724993
surface,Surf6,IUB2506,Stenotrophomonas,1.308847647
surface,Surf7,IUB2507,Emedobacter,2.772241088
surface,Surf8,IUB2508,Rhenheimera,2.259356253
surface,Surf9,IUB2509,Acinetobacter,1.071675207
surface,Surf10,IUB2510,Massilia,2.190941413
surface,Surf11,IUB2511,Massilia,0.83653465
surface,Surf12,IUB2512,Chryseobacterium,2.510840148
surface,Surf13,IUB2513,Bacillus,2.841826994
surface,Surf14,IUB2514,Bacillus,1.406028858
surface,Surf16,IUB2516,Flavobacterium,2.147339654
surface,Surf18,IUB2518,Roseateles,0.517287493
surface,Surf19,IUB2519,Pseudomonas,1.444350738
sediment,Sed1,IUB2522,Roseateles,0.609612103
sediment,Sed2,IUB2523,Aeromonas,2.618725893
sediment,Sed3,IUB2524,Lysinibacillus,2.045723777
sediment,Sed4,IUB2525,Bacillus,2.652008621
sediment,Sed6,IUB2527,Bacillus,1.053425522
sediment,Sed7,IUB2528,Raoultella,1.182260569
sediment,Sed8,IUB2529,Bacillus,0.971722786
sediment,Sed9,IUB2530,Chryseobacterium,0.765072393
sediment,Sed10,IUB2531,Vogesella,2.933571802
sediment,Sed11,IUB2532,Aeromonas,2.312125579
sediment,Sed12,IUB2533,Bacillus,1.080482563
sediment,Sed13,IUB2534,Bacillus,2.06052383
sediment,Sed14,IUB2535,Bacillus,2.874909168
sediment,Sed15,IUB2536,Priestia,1.847590949
sediment,Sed16,IUB2537,Bacillus,1.871319779
sediment,Sed17,IUB2538,Priestia,2.914561203
sediment,Sed18,IUB2539,Bacillus,2.83275558
sediment,Sed20,IUB2541,Aeromonas,2.520343767